country_code,country,year,erf,fce,gdp,trd,up
CZE,Czechia,2008,46.462,119913099352.526,178518044754.249,123.904809929948,73.4655517409377
CZE,Czechia,2009,45.616,120324527225.093,169952170270.619,113.049254784875,73.4084890302159
CZE,Czechia,2010,45.066,122030738697.643,174565802522.079,126.756480116798,73.3495599222723
CZE,Czechia,2011,45.566,121165578453.621,177659773382.538,136.750855542438,73.2878338394746
CZE,Czechia,2012,45.935,119818972717.282,176290606021.546,145.480195396935,73.2249239592898
CZE,Czechia,2013,46.671,121321289801.888,176216894659.909,145.502230624961,73.1622186934979
CZE,Czechia,2014,47.045,122942752311.403,180173337874.854,156.415122826886,73.0995921041469
CZE,Czechia,2015,48.075,126748757558.819,189107698561.919,154.018400997633,73.0370442874355
CZE,Czechia,2016,49.317,130887425230.499,193988322685.058,148.547004664435,72.9745753395623
CZE,Czechia,2017,50.245,135753807263.956,204024435232.921,147.750834854762,72.9121853567256
CZE,Czechia,2018,51.082,140550031712.407,209798950825.42,145.141717890789,72.8498744351241
CZE,Czechia,2019,51.056,144691078793.454,217279912681.73,138.154609993871,72.7876426709563
CZE,Czechia,2020,49.943,139756918584.358,205753475017.539,128.780430305965,72.7254901604208
CZE,Czechia,2021,49.789,144416082055.02,214043320221.167,137.378116302868,72.6810594374316
CZE,Czechia,2022,50.746,145114998565.196,220137498830.73,144.011494109397,72.6967638379524
GRC,Greece,1992,29.393,141236586202.995,163442524062.296,37.7870755959724,71.7712094830401
GRC,Greece,1993,29.055,140958053534.862,160827443641.566,36.0330301689118,71.8845576676716
GRC,Greece,1994,29.927,142954966905.174,164043992268.73,35.2202302292147,71.986767203146
GRC,Greece,1995,30.272,147306616286.013,167488456016.048,36.1256353436075,72.0831868417364
GRC,Greece,1996,30.873,149577811982.865,169803934634.075,36.8209292630895,72.1791653357157
GRC,Greece,1997,31.051,152966438853.29,175921772178.591,39.4385486529083,72.2800514373571
GRC,Greece,1998,31.578,159143721857.848,181968090540.634,42.4898959577488,72.3911938989336
GRC,Greece,1999,32.199,164374576166.613,186806231970.762,48.1760370261319,72.5179414727182
GRC,Greece,2000,32.602,166253626907.58,194535950663.831,59.1126577488086,72.665642910984
GRC,Greece,2001,32.388,175004511233.214,203582678904.899,56.8576339551067,72.8460703788502
GRC,Greece,2002,33.042,183866201752.596,213116735217.242,50.0533371904633,73.0977109642516
GRC,Greece,2003,33.751,191036589263.409,225470734593.334,47.8943121550822,73.432268024093
GRC,Greece,2004,34.273,198995412355.823,237596249349.014,49.825317672568,73.8267602923728
GRC,Greece,2005,34.775,206028277876.322,240408216059.142,50.3555334391407,74.2617376694311
GRC,Greece,2006,35.866,212471963873.621,255898673342.699,51.1047465834807,74.717750055608
GRC,Greece,2007,36.108,222586131067.579,264872706550.759,54.5256818189044,75.1753473512439
GRC,Greece,2008,36.802,227422338319.972,265024939553.215,57.1052836264926,75.615079456679
GRC,Greece,2009,36.922,226037084403.715,254107830646.221,46.3779593986083,76.0174962722535
GRC,Greece,2010,36.126,211262492816.716,239639588360.141,50.9225181997227,76.3631476983077
GRC,Greece,2011,33.723,194864304147.229,215970916413.204,56.2929957941907,76.6352609929407
GRC,Greece,2012,30.979,178693111779.727,197978089510.093,62.3942117351318,76.8679797449322
GRC,Greece,2013,29.508,171732113444.553,193479795684.276,62.9547272215374,77.0951999650171
GRC,Greece,2014,30.25,171492259218.972,195012591113.587,66.4335364513677,77.3130486275866
GRC,Greece,2015,31.264,172952177506.323,194567373678.099,65.2716454619318,77.5194426317545
GRC,Greece,2016,31.738,173520947149.761,194505511433.343,63.6575490882866,77.7122988766348
GRC,Greece,2017,32.44,176478004557.074,197370820217.692,70.8824967397253,77.8895342613411
GRC,Greece,2018,32.951,178200009797.342,201445880434.67,79.2379908638706,78.0490656849874
GRC,Greece,2019,34.288,182630708627.922,206033167050.895,80.5900949510457,78.1888100466875
GRC,Greece,2020,34.489,175090314238.563,187085880047.738,70.2937464580745,78.3066842455552
GRC,Greece,2021,35.109,182613901015.661,203277223532.871,88.0126654490379,78.3884898647442
GRC,Greece,2022,37.146,195452580598.113,214502162962.972,108.121843229922,78.5502190980809
HUN,Hungary,1992,41.493,63363546237.4234,76609544644.9065,55.2935236018396,61.6475605980383
HUN,Hungary,1993,40.65,66811829647.5818,76168190532.2801,53.4135360713045,61.9730169898483
HUN,Hungary,1994,41.069,65283736234.5749,78412984829.3261,56.3059945915153,62.2993731534369
HUN,Hungary,1995,41.302,61036896029.1167,79580966214.7964,78.1758915933919,62.6263403226773
HUN,Hungary,1996,41.098,59481853010.9865,79661529391.287,83.021980635108,62.9536297314429
HUN,Hungary,1997,41.597,60190250951.0298,82033753398.2324,94.6879101466758,63.2809526136067
HUN,Hungary,1998,41.51,61820158117.1232,85190500943.9874,107.319335097669,63.6080202030422
HUN,Hungary,1999,42.454,65061564957.2318,87819529312.3301,113.869532830977,63.9345437336226
HUN,Hungary,2000,42.901,67305693543.1694,91691821698.8094,137.26231309347,64.2602344392211
HUN,Hungary,2001,43.631,70314795710.8617,95416367494.0372,130.903714236387,64.646880283041
HUN,Hungary,2002,43.834,75176001093.8241,99929623991.0794,118.269335242555,65.0400009155273
HUN,Hungary,2003,43.897,80640696644.8714,103865629649.023,116.787088540862,64.8452987670898
HUN,Hungary,2004,43.919,81961010914.2282,109020611056.081,123.615686104174,65.0225372314453
HUN,Hungary,2005,43.341,84161680436.4088,113708806061.092,128.004810647538,66.1261367797852
HUN,Hungary,2006,43.223,85911626487.7012,118182032745.55,149.231531568461,67.0155868530273
HUN,Hungary,2007,43.176,85428067278.6351,118574815857.973,155.60143236807,67.0041656494141
HUN,Hungary,2008,42.909,85354498185.6907,119752782052.746,158.453224115619,68.0976986078883
HUN,Hungary,2009,41.377,81509429608.0792,111681245651.521,145.30587733019,68.4592590332031
HUN,Hungary,2010,41.659,80570046958.4997,112873946275.587,157.838960085896,69.5305480957031
HUN,Hungary,2011,41.693,80988200344.5071,115037411549.874,166.754347209897,69.4779934082031
HUN,Hungary,2012,42.415,79654105362.4744,113496503293.017,166.17569860957,69.5772326660156
HUN,Hungary,2013,42.897,80501276208.4613,115802945078.187,164.476024791467,69.9277636266638
HUN,Hungary,2014,45.018,83097789855.2594,120822254244.73,168.358355086413,70.3071053512008
HUN,Hungary,2015,46.391,85872639238.1839,125244126623.289,167.290738494524,70.4847717285156
HUN,Hungary,2016,48.242,89007414335.1635,128298381762.592,163.97194450015,70.4733810424805
HUN,Hungary,2017,48.733,93203932655.7933,133589642960.172,165.032855840268,70.4542541503906
HUN,Hungary,2018,49.505,97032541856.6349,141078862882.165,162.700858777925,70.4711761474609
HUN,Hungary,2019,49.539,102277958006.081,148241697677.304,159.925556464831,70.4565277099609
HUN,Hungary,2020,49.065,102311156246.347,141809897486.431,154.527002936377,70.2917327880859
HUN,Hungary,2021,50.016,106744265647.829,152052706989.445,159.187527332834,70.2059275331413
HUN,Hungary,2022,51.213,113173802199.251,158366514062.482,185.000204092698,70.1585064243445
POL,Poland,1992,45.274,,185686615837.644,,61.4357163819024
POL,Poland,1993,44.321,,192628157713.225,,61.4951989928981
POL,Poland,1994,43.861,,202823584825.574,,61.5491478044841
POL,Poland,1995,43.662,181205544501.923,218906804615.997,43.5552180979904,61.5973714804995
POL,Poland,1996,43.565,194387637617.721,232246717071.23,45.3767344453465,61.6396786847836
POL,Poland,1997,43.331,206607083167.529,247015068311.447,50.376378640536,61.6758780811754
POL,Poland,1998,43.68,215494176946.545,258431144714.153,56.5460556555084,61.7057783335144
POL,Poland,1999,42.703,226413874519.167,270575301764.16,53.8980187624686,61.7291881056396
POL,Poland,2000,40.518,235669239952.248,283174187558.032,60.6107209423297,61.7459160613903
POL,Poland,2001,39.584,241298607242.34,286667833930.23,57.8785312712895,61.7557708646056
POL,Poland,2002,38.339,249334871998.939,292117946677.278,60.7967990573911,61.7581534555696
POL,Poland,2003,38.213,254076853694.124,302410346199.761,69.2134479841788,61.7281374379602
POL,Poland,2004,38.261,264112800106.115,317805438387.054,70.9815765694162,61.6555172559989
POL,Poland,2005,38.578,269500039793.076,328168510412.522,70.3114790902584,61.5497010774856
POL,Poland,2006,39.963,283036132113.012,348521872927.444,77.7008035402352,61.4199688499096
POL,Poland,2007,41.927,296493513728.611,372083512402.176,80.745399056691,61.2756005207604
POL,Poland,2008,43.421,315477835256.665,388394800371.402,80.5746815569207,61.1258760375274
POL,Poland,2009,43.725,325139010478.843,398551823849.317,74.9685965264269,60.9800753477
POL,Poland,2010,44.055,337082185966.309,411181642127.603,82.2258523219922,60.8474783987677
POL,Poland,2011,43.953,342873007030.11,432791139408.41,86.9236892837618,60.7357090652544
POL,Poland,2012,44.042,344813131715.082,439333996551.267,88.8299033066583,60.6341632788866
POL,Poland,2013,43.81,345924233983.287,442340098156.254,90.4175072415629,60.5333187465323
POL,Poland,2014,44.817,357526011407.348,459682079851.439,92.0340197113178,60.4340063344328
POL,Poland,2015,45.741,370267940045.099,480054118583.367,92.2554272741942,60.3362886805635
POL,Poland,2016,46.575,382683247115.002,494605411858.337,96.8659028060623,60.2402284228997
POL,Poland,2017,47.338,402952274837.512,520089746650.75,100.56589524628,60.145888199417
POL,Poland,2018,47.952,421279957554.052,552573816155.989,102.442462168005,60.0533306480907
POL,Poland,2019,47.826,438074784454.172,577884228677.544,101.581033817373,59.9626184068963
POL,Poland,2020,47.717,432242286775.434,566120997479.772,99.2590912303436,59.8738141138092
POL,Poland,2021,49.296,457715744793.739,605337233054.782,110.874283021945,59.8096513205543
POL,Poland,2022,50.123,476122827961.268,637150470884.733,123.021332860345,59.8315488048321
ROU,Romania,1992,38.628,57521140961.0505,92524246376.2034,63.9902474623499,54.3130567791968
ROU,Romania,1993,38.456,58236474681.7686,93938788972.5597,51.003703370966,54.2356756582215
ROU,Romania,1994,38.175,60443514256.7468,97632408355.8641,51.8670700671661,54.0905691656188
ROU,Romania,1995,38.043,66186629460.8148,103718335742.553,56.291225396158,53.8985438392597
ROU,Romania,1996,38.515,70455380353.8878,107771339314.171,60.7813693722174,53.677523113411
ROU,Romania,1997,39.396,68087803255.1458,102545439457.276,63.205242332383,53.4454304223393
ROU,Romania,1998,39.823,70835269384.9251,100463958892.948,53.838795710082,53.2201892003114
ROU,Romania,1999,39.981,70028118378.6768,100085550636.348,57.9736750449875,53.0197228815939
ROU,Romania,2000,39.674,70682943349.8364,102548919722.127,48.5213253850786,52.8619549004535
ROU,Romania,2001,39.723,74883989209.7506,107900062083.039,51.9285910211481,52.764808691157
ROU,Romania,2002,38.951,78857101651.0423,114053593614.452,53.7102478139376,52.7466427937759
ROU,Romania,2003,39.468,82558653114.351,116723756275.208,56.1795270470243,52.8023493819682
ROU,Romania,2004,39.517,93321530850.5681,128895841498.556,60.6264786669408,52.9175295523808
ROU,Romania,2005,39.371,103142506043.417,134912890211.095,59.3605494490555,53.074507031037
ROU,Romania,2006,39.633,111243567603.656,145744791283.304,61.6836259265159,53.2566380678272
ROU,Romania,2007,40.158,124198195142.777,156287689281.09,63.5051566734658,53.4472789126416
ROU,Romania,2008,40.909,134359876879.388,170834114652.888,65.1752009979412,53.6297858153706
ROU,Romania,2009,36.64,126440445903.544,161409698529.133,58.4700583666529,53.7875150259042
ROU,Romania,2010,39.28,120979386739.602,155105339843.99,69.9549354932718,53.9038227941329
ROU,Romania,2011,39.16,125045763378.546,162078238594.701,76.271356441629,53.9608874244169
ROU,Romania,2012,39.226,128556506006.764,165163587446.019,76.5943239913672,53.9563092496073
ROU,Romania,2013,39.077,122935959302.706,165624017079.639,81.3976131747183,53.9101758034365
ROU,Romania,2014,39.487,128265724207.817,172441103432.375,83.3751429575201,53.8267187624053
ROU,Romania,2015,39.986,133994063909.956,177885131240.315,83.5205767017155,53.7071839518893
ROU,Romania,2016,40.022,140670767973.217,182972525962.275,85.8925282906884,53.5528171972639
ROU,Romania,2017,41.43,154914260626.848,197967999561.02,87.1560645667801,53.3648643239046
ROU,Romania,2018,41.435,167722159629.062,208647427408.285,87.0911701095809,53.1445711571868
ROU,Romania,2019,41.507,174373139895.53,216910469745.256,84.9063630584793,52.8931835224862
ROU,Romania,2020,40.737,170429290845.47,209105975817.662,78.3616463562709,52.611947245178
ROU,Romania,2021,40.591,179363227208.75,220789460074.341,87.0711965460145,52.2321512130811
ROU,Romania,2022,41.04,186365409328.072,230035489109.198,93.9496509383447,52.1634832477272
