country,variable,coefficient,std_error,t_stat,p_value,significant_5pct
Hungary,const,0.2644250179711797,0.590791450859098,0.44757759711428907,0.654458074333979,False
Hungary,ltrd,0.03507158106611057,0.01660960357483701,2.111524270166378,0.03472727407195042,True
Hungary,lup,1.0016164273763093,0.09928615385258513,10.088178346232011,0.0,True
Hungary,lerf,0.1920482971410529,0.05808604934183295,3.306272320413118,0.0009454615193140725,True
Hungary,lfce,0.7987079389658887,0.030893794112248067,25.85334569343929,0.0,True
Czechia,const,-37.81859645312343,8.86049590336232,-4.268225713954937,1.9703390573555524e-05,True
Czechia,ltrd,0.22631027939776818,0.023413031936423512,9.665996271320104,0.0,True
Czechia,lup,6.9136352901114435,1.654387366787734,4.178970070072166,2.928322162842889e-05,True
Czechia,lerf,0.31942960457987013,0.07029826882527963,4.543918504931967,5.521801303975948e-06,True
Czechia,lfce,1.241684016931714,0.0786721043423394,15.783027889130329,0.0,True
Poland,const,23.24992424530581,3.148400689221279,7.384677663457256,1.5276668818842154e-13,True
Poland,ltrd,0.1469303731681688,0.01769824407636325,8.301974621561495,0.0,True
Poland,lup,-4.510992347919617,0.6155579736205709,-7.328298131509846,2.3314683517128287e-13,True
Poland,lerf,-0.007992696867864088,0.041858749736265015,-0.1909444720213295,0.8485690974866267,False
Poland,lfce,0.8072719043397485,0.026351214013587403,30.635093469450673,0.0,True
Romania,const,11.177114235702701,2.172539281800292,5.144723655556044,2.679148956019617e-07,True
Romania,ltrd,0.22147889162276674,0.033269468113109886,6.65712150461139,2.7924329515371937e-11,True
Romania,lup,-0.7283528297724403,0.38395071931011354,-1.8969956120440454,0.05782851722297844,False
Romania,lerf,-0.4178064336641665,0.15740323751646915,-2.654370013326132,0.007945664611071601,True
Romania,lfce,0.7096253887745066,0.02033927796774528,34.88940904882931,0.0,True
Bulgaria,const,4.144511106488423,1.286344304990468,3.2219298444510427,0.0012733030852605243,True
Bulgaria,ltrd,0.0688834730159642,0.026354429102893484,2.6137342132143324,0.008955867641697868,True
Bulgaria,lup,1.4636233817726654,0.29477232817188437,4.965267231323062,6.860653469775713e-07,True
Bulgaria,lerf,0.6839487762726012,0.11369572223434504,6.01560694484946,1.7921393258291118e-09,True
Bulgaria,lfce,0.4627734078427473,0.05228566308235426,8.850866194693577,0.0,True
Greece,const,-0.9449421732506308,0.8598124959937339,-1.0990095836633633,0.2717638856839526,False
Greece,ltrd,0.03264103122570439,0.016959733449015867,1.9246193534721188,0.0542769963839238,False
Greece,lup,-0.9231300438057491,0.14673045361345233,-6.291332310861991,3.147526683733304e-10,True
Greece,lerf,-0.16355206020126706,0.057086811575873385,-2.8649710097032135,0.004170474205759556,True
Greece,lfce,1.212396658303595,0.032499560245090355,37.30501733440376,0.0,True
