country,start_year_balanced,end_year_balanced,observations_balanced,coefficient_balanced,std_error_balanced,p_value_balanced,significant_5pct_balanced,start_year_available,end_year_available,observations_available,coefficient_available,std_error_available,p_value_available,significant_5pct_available,coefficient_difference_available_minus_balanced,same_significance_conclusion
Hungary,1995,2022,28,0.2286328514826792,0.061069937743985975,0.000181267187072613,True,1992,2022,31,0.31877814386917436,0.07171923752968568,8.797094820742245e-06,True,0.09014529238649516,True
Czechia,1995,2022,28,0.3325591420605445,0.0914208079903318,0.00027511079655666076,True,1992,2022,31,0.32994519948794476,0.08307571678456854,7.138544974833819e-05,True,-0.0026139425725997256,True
Poland,1995,2022,28,0.032950953776676783,0.054194781857994985,0.5431810317360323,False,1995,2022,28,0.032950953776676783,0.054194781857994985,0.5431810317360323,False,0.0,True
Romania,1995,2022,28,-0.2955556392001597,0.16871975708430606,0.07981598468906492,False,1992,2022,31,-0.23828164460583423,0.1662701954494711,0.15182955788428948,False,0.05727399459432547,True
Bulgaria,1995,2022,28,0.7314281386582309,0.18493899229884256,7.654430401983744e-05,True,1992,2022,31,0.7387766886156655,0.16959057462459984,1.323176755097406e-05,True,0.007348549957434614,True
Greece,1995,2022,28,-0.2420065225793806,0.08692547686263599,0.005368161836622013,True,1992,2022,31,-0.2294689368268621,0.08638308216927204,0.00789773837603224,True,0.01253758575251851,True
