country_code,country,year,lgdp,lerf,lup,ltrd,lfce
BGR,Bulgaria,1992,24.212333960102548,3.6346608324943173,4.2069391719120155,4.605668069991409,24.03712111752225
BGR,Bulgaria,1993,24.1974211663893,3.6182423745144954,4.211053367489906,4.431310551292243,24.000849180436038
BGR,Bulgaria,1994,24.21543799733593,3.657182367370682,4.215418640031346,4.507779266080181,23.95499106935342
BGR,Bulgaria,1995,24.243997651558484,3.6733596424558996,4.2170567904621565,4.012098811623197,24.129707736939668
BGR,Bulgaria,1996,24.29474203012666,3.653614905013625,4.215059538664282,4.4522613017772175,24.107009463427254
BGR,Bulgaria,1997,24.142576602233593,3.6495147305916595,4.214486985907194,4.459725094444054,23.722323846319078
BGR,Bulgaria,1998,24.179767573758518,3.664509914329925,4.21752636452349,4.344392301996747,23.76687273532006
BGR,Bulgaria,1999,24.092071333692026,3.6439866852231995,4.220213287385543,4.500642230964905,23.804001006701498
BGR,Bulgaria,2000,24.13692256390781,3.6193417913980457,4.223370022797457,4.353443297564395,23.87567046261816
BGR,Bulgaria,2001,24.1744466814071,3.634000792603947,4.236953346806384,4.370477306546239,23.935278364392058
BGR,Bulgaria,2002,24.23150666172774,3.64225943347871,4.241124086534586,4.321076481162121,23.979772022406905
BGR,Bulgaria,2003,24.282552885268675,3.6622017475275745,4.245359554373787,4.369623601216704,24.045919469691746
BGR,Bulgaria,2004,24.3456255743284,3.6988050321855095,4.247342212017376,4.533286332109057,24.126583485210546
BGR,Bulgaria,2005,24.413810707873335,3.695259061077975,4.2497367544661735,4.6023082065565895,24.183580293149213
BGR,Bulgaria,2006,24.47962269377314,3.7470540181650085,4.255719407430905,4.709957702297432,24.2598573470881
BGR,Bulgaria,2007,24.5440460950743,3.7969263581970703,4.258225148676089,4.816504746108549,24.344405184928974
BGR,Bulgaria,2008,24.603536506065378,3.8308563330094856,4.261300046772032,4.825820612169843,24.375695498814938
BGR,Bulgaria,2009,24.56949210111034,3.803992261214441,4.266920659863574,4.529289133972995,24.32865166433714
BGR,Bulgaria,2010,24.584925981658444,3.766419031569354,4.2699062492298605,4.638416572194596,24.351544241329346
BGR,Bulgaria,2011,24.60561228778355,3.7478556592142334,4.285104931155065,4.765741102373227,24.371935530000044
BGR,Bulgaria,2012,24.613072544855154,3.755579699541004,4.287282977181035,4.820050270424288,24.39766313954316
BGR,Bulgaria,2013,24.607630248500747,3.7562109462742215,4.2899563304615125,4.86513683220689,24.367334318559152
BGR,Bulgaria,2014,24.617079950009938,3.769422036829124,4.291616140612722,4.86944322078806,24.378720444858196
BGR,Bulgaria,2015,24.650491063996153,3.7982718308851333,4.291870197089151,4.842111250037626,24.404128502455542
BGR,Bulgaria,2016,24.68030836109973,3.7872078019361846,4.292853874282873,4.810601919888165,24.424976959463677
BGR,Bulgaria,2017,24.707397385469108,3.8427801026859854,4.295793915633092,4.864718404872404,24.452899002923157
BGR,Bulgaria,2018,24.730431571279155,3.8477404515281663,4.2986479074856785,4.8611022924906715,24.48934959614934
BGR,Bulgaria,2019,24.767662976817043,3.8810275717256264,4.300223023245479,4.830394916916143,24.53941257809486
BGR,Bulgaria,2020,24.73582928876692,3.8544574498937356,4.2948878386781235,4.704326594528265,24.555718586846368
BGR,Bulgaria,2021,24.811198065962454,3.845306113362524,4.295198408429871,4.797558306680412,24.61961669354388
BGR,Bulgaria,2022,24.851224839656943,3.887853256120941,4.2970121226288365,4.93335731887874,24.668293986259066
CZE,Czechia,1992,25.40668480449249,3.9264188857118785,4.3186893136029045,4.3562103830627015,25.065110955690088
CZE,Czechia,1993,25.40730365538838,3.902073674574478,4.317261634973402,4.359240723642175,25.084772231059546
CZE,Czechia,1994,25.435981579325176,3.9094797741553644,4.315536032495549,4.314858232828471,25.125298260090087
CZE,Czechia,1995,25.496337044815366,3.9090184964078474,4.3136044123046675,4.417647113606932,25.155242198414356
CZE,Czechia,1996,25.537177448150047,3.9013866393065872,4.311559223026012,4.38949316512608,25.204698246109125
CZE,Czechia,1997,25.53120124200829,3.8889999982706063,4.309493606708951,4.432639311673171,25.233516697875707
CZE,Czechia,1998,25.527261991401105,3.8644491013144946,4.3075014647999295,4.430086202507707,25.22207897576992
CZE,Czechia,1999,25.540951467577194,3.843187264452692,4.3056774368828705,4.448014772261338,25.251342959031973
CZE,Czechia,2000,25.58027476796807,3.8325684580877386,4.304116789782431,4.579835922820082,25.261594823441282
CZE,Czechia,2001,25.609029553181287,3.8331745843104303,4.3028910969131005,4.590430830714619,25.289485407425826
CZE,Czechia,2002,25.62405076271026,3.8362644410269944,4.3018465090718285,4.509531939377976,25.334415246227426
CZE,Czechia,2003,25.656526053808303,3.824371423551093,4.300883212333827,4.550152702953561,25.384199850568887
CZE,Czechia,2004,25.70280200949641,3.818700848196773,4.299991465572066,4.728926245085063,25.399523585033222
CZE,Czechia,2005,25.764602681714322,3.8219451133014766,4.299155147534271,4.797370184220415,25.426935727345946
CZE,Czechia,2006,25.82873336649584,3.8300100247074673,4.298358071411602,4.844588699148001,25.454323834719265
CZE,Czechia,2007,25.88216821266418,3.83727790727583,4.297583992381622,4.866585843015079,25.484756780361636
CZE,Czechia,2008,25.907955524116968,3.838634774198773,4.296816612555444,4.819513608946535,25.510033145326926
CZE,Czechia,2009,25.858782883060655,3.820258532170316,4.296039583295634,4.72782360679491,25.51345832297842
CZE,Czechia,2010,25.885567599324716,3.8081280819319296,4.295236504874636,4.842267766346283,25.527538806482006
CZE,Czechia,2011,25.903136172718863,3.8191618243768586,4.294394617483433,4.918160697534352,25.520423864085995
CZE,Czechia,2012,25.8953996408781,3.82722735372343,4.293535854260404,4.980039963236768,25.509247880015796
CZE,Czechia,2013,25.894981429279376,3.843122986773094,4.292679149655195,4.980191417249778,25.521708151113906
CZE,Czechia,2014,25.917185212654584,3.851104590458729,4.291822786769534,5.052513516703253,25.534984655610852
CZE,Czechia,2015,25.96558252337345,3.8727622914748436,4.290966768428408,5.0370720822732435,25.565472677072375
CZE,Czechia,2016,25.991063801853045,3.898268849195483,4.29011109746408,5.000901437884624,25.5976034413097
CZE,Czechia,2017,26.041505604171043,3.916911039500922,4.28925577671609,4.995527306725486,25.634108841510493
CZE,Czechia,2018,26.069415532063978,3.9334321846656453,4.288400809031274,4.977710629874674,25.668829359929713
CZE,Czechia,2019,26.104452279446864,3.9329230695358874,4.287546197263756,4.928373420294189,25.69786681556265
CZE,Czechia,2020,26.049944565875126,3.9108823551338756,4.286691944274961,4.858108863508128,25.66317045462101
CZE,Czechia,2021,26.089444262421917,3.90779407609811,4.286080820161296,4.922737097109754,25.695964428775945
CZE,Czechia,2022,26.117518182756072,3.9268327970816257,4.286296869627825,4.969893116594683,25.700792358587556
GRC,Greece,1992,25.8197272306937,3.3807565507573694,4.273483413508986,3.6319671287086615,25.673702237528957
GRC,Greece,1993,25.803597848541635,3.3691905855270687,4.275061466522823,3.584436022497954,25.671728190404306
GRC,Greece,1994,25.823400474340243,3.3987610829618053,4.2764823132796215,3.561620639935244,25.685795500862593
GRC,Greece,1995,25.84418026652931,3.4102231928694677,4.277820824888447,3.587002733644238,25.71578207648713
GRC,Greece,1996,25.857910282722884,3.429882015522064,4.279151435497405,3.606066413484544,25.731082575864377
GRC,Greece,1997,25.893305256917706,3.4356310139800446,4.280548177364023,3.6747437301959884,25.753484380377195
GRC,Greece,1998,25.927097181951872,3.452460675599697,4.282084660763794,3.7492663054946047,25.793073541940707
GRC,Greece,1999,25.95333772391251,3.471935396167497,4.283833999834545,3.8748617402987784,25.825413661421052
GRC,Greece,2000,25.993882819242682,3.484373636184098,4.285868685640783,4.079445076586583,25.836780332229853
GRC,Greece,2001,26.039338043862802,3.477787983823868,4.288348589921406,4.040550493593196,25.888077589013175
GRC,Greece,2002,26.085105905192933,3.4977794795083996,4.291797052506919,3.9130891806705423,25.937474165655072
GRC,Greece,2003,26.141456207393073,3.51901004650922,4.296363457873265,3.868996753213452,25.97573081347059
GRC,Greece,2004,26.193838638742186,3.5343578721776607,4.301721271468616,3.908523241845076,26.01654760791684
